Name(String),Dept(Integer),Salary(Integer),Tax(Integer)
Taylor,3,1166300,11664
Smith,3,2806600,28067
Jones,1,2374900,23750
Davis,0,462300,4624
Jackson,4,3734200,37343
Miller,4,38300,384
Jones,3,3606600,36067
Thompson,1,3916700,39168
White,2,499100,4992
Harris,1,747400,7475
Jones,2,951900,9520
Thomas,2,2439300,24394
Martin,1,2313800,23139
Martin,0,4015800,40159
Thomas,2,4304700,43048
Davis,4,78000,781
Thomas,0,1296500,12966
Smith,3,547900,5480
Jones,2,2369100,23692
Anderson,1,438800,4389
Brown,3,636900,6359
Robinson,0,3582900,35830
Smith,3,1354700,13548
Anderson,0,1430500,14306
White,3,4142000,41421
Moore,3,1392000,13921
Thompson,3,2052300,20524
Harris,2,3544200,35443
Robinson,4,3647800,36479
Jones,2,3746100,37462
Smith,2,1959900,19600
Davis,0,843500,8436
Moore,4,1190500,11906
Miller,2,2091900,20920
Martin,0,1737700,17378
Williams,3,2400400,24005
Garcia,1,1420200,14203
Davis,4,768700,7688
Garcia,0,2447700,24478
Robinson,3,30200,303
Johnson,0,2220400,22205
Robinson,1,3693800,36939
Anderson,1,1763300,17634
Robinson,0,3063600,30637
Jones,2,3903000,39031
Moore,1,3805500,38056
Brown,1,3493700,34938
Moore,4,2658400,26585
Jackson,0,4114200,41143
Miller,2,454500,4546
Taylor,2,3365800,33659
Anderson,0,1329200,13293
Martin,0,1062900,10630
White,2,1755100,17552
Moore,1,3355600,33557
Jones,0,4128700,41277
Smith,1,3891100,38912
Jones,1,3354700,33548
Harris,2,1068700,10688
Thompson,2,2342600,23427
White,4,3118400,31185
Martinez,2,3215300,32154
Brown,1,336700,3368
Davis,2,680700,6808
Thomas,2,3101400,31015
Wilson,3,3797100,37972
Garcia,0,3185000,31851
Davis,4,2873000,28731
Taylor,3,1306900,13070
Williams,3,2634500,26346
Anderson,4,1432300,14324
Thomas,3,2694300,26944
Harris,2,1111800,11119
Moore,0,161100,1612
Anderson,3,650000,6501
Miller,2,2106400,21065
Anderson,3,1474900,14750
Jackson,1,3952700,39528
Brown,2,3584000,35841
Williams,3,225000,2251
Brown,4,3281500,32816
Jackson,4,1890700,18908
Martin,1,3764500,37646
Martin,0,595800,5959
Jackson,3,3912900,39130
Johnson,2,935100,9352
Williams,2,2967600,29677
Harris,3,3020500,30206
Anderson,3,774100,7742
Martinez,1,4331200,43313
Robinson,1,2230700,22308
Harris,3,2425300,24254
Brown,0,3506400,35065
Taylor,1,1664900,16650
Thompson,4,2619100,26192
Taylor,0,3655800,36559
Martinez,0,686600,6867
Johnson,1,3408000,34081
Williams,3,1096500,10966
Smith,3,2913200,29133
Wilson,3,68200,683
Jones,0,3622700,36228
Williams,4,578000,5781
Johnson,0,2760100,27602
Taylor,4,3439500,34396
Taylor,0,129700,1298
Moore,3,3605100,36052
Garcia,0,759900,7600
Brown,1,1270700,12708
Martin,2,381000,3811
Robinson,2,1224700,12248
Smith,0,2188000,21881
Davis,4,3648400,36474
Miller,0,3804000,38041
Anderson,4,922400,9225
Robinson,4,2609500,26096
Williams,2,154300,1544
Jackson,0,196300,1964
Harris,2,2881000,28811
Brown,4,284800,2849
Williams,1,1115500,11156
Robinson,4,3046300,30464
Jones,3,3682600,36827
Garcia,2,178000,1781
Moore,4,3128600,31287
Robinson,4,348700,3488
Martinez,3,1692300,16924
Harris,2,271300,2714
Martin,3,571600,5706
Wilson,4,2974100,29742
Williams,4,2202700,22028
Wilson,1,4160800,41609
White,4,3895300,38954
Garcia,0,694600,6947
Anderson,3,1928600,19287
White,3,2843700,28438
Martin,1,1381500,13816
Martinez,4,3761300,37614
Brown,3,1609100,16092
Williams,1,2262800,22629
Thompson,0,118500,1186
Martin,3,692700,6928
Martinez,2,883500,8836
Garcia,2,2583200,25833
Thompson,0,3006600,30067
Jones,3,1891800,18919
Thomas,4,2559100,25592
Davis,1,2580600,25807
Harris,1,1861300,18614
Davis,4,2895000,28940
Garcia,4,2500100,25002
Harris,4,2418800,24189
Garcia,2,816300,8164
Williams,4,2670200,26703
Miller,1,2302100,23022
Jones,2,1609300,16094
Harris,0,3848400,38485
Martin,0,305100,3052
Garcia,3,2640900,26410
Robinson,3,3411500,34116
Harris,1,1086800,10869
Jackson,1,2607000,26071
Jones,4,2336900,23370
Martinez,0,1133500,11336
Moore,4,3949600,39497
Miller,3,2843000,28431
Jackson,4,685500,6856
Williams,2,3402600,34027
Taylor,2,3809900,38100
Johnson,0,1647800,16479
Moore,1,4195000,41951
Wilson,4,2923200,29233
Jones,2,1341000,13411
White,0,3601900,36020
Miller,2,3577000,35771
Davis,1,2919500,29196
Brown,0,1226800,12269
Williams,1,276900,2759
Smith,0,346400,3465
Thomas,3,12300,124
Taylor,3,3797500,37976
Moore,0,449000,4491
Garcia,4,122000,1221
Brown,2,3079900,30800
Jackson,4,3172600,31727
Thomas,2,1116200,11163
Moore,3,1756900,17570
Moore,3,2510000,25101
Brown,3,3595100,35941
Smith,1,2942500,29426
Martin,2,4087400,40875
Smith,0,568500,5675
Moore,0,3112900,31130
Moore,2,358300,3584
Robinson,3,2905200,29053
Thomas,2,3897400,38975
Anderson,0,3613100,36132
Jackson,1,2434700,24348
Davis,2,1810700,18108
Thompson,3,398700,3988
White,4,1983800,19828
Martinez,1,3413100,34132
Thompson,2,508300,5084
Jackson,0,3386100,33862
Harris,4,3209200,32093
Wilson,0,882400,8825
Anderson,0,2455800,24559
Taylor,2,448700,4488
Jones,3,965500,9656
Jones,1,3098600,30987
Smith,1,1391600,13917
Martin,0,2722700,27228
Martinez,4,936700,9368
Moore,0,2592500,25926
Thompson,4,2794300,27944
Smith,3,1731300,17314
Smith,4,969000,9691
Thomas,1,1645000,16451
Jones,4,1438500,14386
Jones,0,411700,4118
Brown,1,1709500,17096
Anderson,2,1623000,16231
Martin,4,1050900,10510
Johnson,4,655200,6553
Martin,4,602200,6012
Miller,4,237200,2373
Garcia,4,2687900,26880
Wilson,0,1042900,10430
Thompson,2,1261200,12613
Robinson,4,24200,243
Wilson,4,2331200,23313
Garcia,3,3376900,33770
Moore,1,998900,9990
Martin,4,2230400,22305
Harris,1,4288200,42883
Wilson,3,3395300,33954
Harris,3,2023400,20235
Smith,1,1451300,14514
Miller,0,540000,5401
Anderson,2,1638500,16386
Anderson,1,391000,3911
Anderson,4,3305100,33052
Thompson,1,1091000,10911
Jackson,2,2667200,26673
Thompson,0,79700,798
Moore,3,1389400,13895
Taylor,1,3590500,35906
White,2,4108500,41086
Harris,0,718500,7186
Martinez,1,934100,9342
White,0,2147300,21474
Brown,4,2765300,27654
Smith,3,1498700,14988
Garcia,0,910700,9108
White,2,1361700,13618
Williams,2,4347500,43476
Davis,3,3079400,30784
Jones,0,529600,5297
Harris,4,988600,9876
Thompson,0,198800,1989
Thompson,1,4285800,42859
Garcia,2,3902800,39029
Smith,3,1361900,13620
Anderson,3,379900,3800
Garcia,0,1232500,12326
Harris,4,4130100,41302
Miller,0,3212100,32122
Wilson,3,496000,4961
Martin,3,4032100,40322
Williams,1,2334900,23350
Thomas,3,3606300,36064
Thomas,3,1962800,19629
Martinez,2,759300,7594
Garcia,1,2420200,24203
Martin,3,1309900,13100
Miller,4,2033700,20338
Williams,4,3366700,33668
Miller,4,326000,3261
Jackson,2,4032600,40327
Harris,2,2829400,28295
Taylor,1,3411000,34111
Thomas,4,2221100,22212
White,0,4291800,42919
Jones,4,1418700,14188
Jackson,2,3317300,33174
White,4,970600,9707
Wilson,4,155400,1555
Wilson,2,3210400,32105
Jackson,4,1500600,15007
Jones,3,471100,4712
Garcia,3,405400,4055
Robinson,0,4293400,42935
White,0,347000,3471
Garcia,0,1898700,18988
Jones,2,2186800,21869
Miller,1,406200,4063
Garcia,1,2503400,25035
Robinson,3,3457900,34580
White,3,261900,2620
Taylor,4,553400,5535
Jones,2,1958600,19587
Thompson,3,1526700,15268
Davis,3,176800,1769
Anderson,0,3734800,37349
Brown,2,68000,681
Brown,3,338700,3388
Jackson,0,410300,4104
Smith,3,2709300,27083
Martinez,4,4109600,41097
Wilson,1,1874400,18745
Wilson,3,4345700,43458
White,0,2417800,24179
Wilson,2,4194500,41946
Martinez,2,3830900,38310
Harris,0,2214800,22149
Brown,1,3811800,38119
Jackson,2,3204500,32046
Moore,3,925900,9260
Brown,0,3300,34
Robinson,3,1027200,10273
Wilson,1,585500,5856
Davis,4,33100,332
Smith,4,74400,745
Taylor,4,3573400,35735
Thompson,4,609600,6097
Williams,2,1235100,12352
Martinez,0,1625100,16252
Jackson,2,3089900,30900
Wilson,0,333500,3336
White,2,1573300,15734
Anderson,3,3143800,31439
Moore,2,3580600,35807
Wilson,0,3320000,33201
White,0,581200,5813
Williams,2,3086100,30862
Moore,3,731400,7315
Anderson,3,3538300,35384
Anderson,2,152000,1521
Brown,2,3900800,39009
Williams,1,3455200,34553
Martinez,0,2410700,24108
Martin,3,2586500,25866
Moore,3,587000,5871
Davis,2,1038000,10381
Davis,4,321900,3220
Jackson,0,4144300,41444
Smith,1,2015000,20151
Garcia,3,1846300,18464
Wilson,2,2074800,20749
Jackson,0,1284100,12842
Taylor,4,2505100,25052
Jones,0,4121800,41219
Brown,3,4082500,40815
White,3,578500,5786
Johnson,3,1377200,13773
Robinson,4,1874200,18743
Robinson,0,3650300,36504
Miller,0,931100,9312
White,0,3431300,34314
Thomas,2,1391800,13919
Taylor,0,1151700,11518
Robinson,0,286100,2862
Thomas,0,1587100,15872
White,0,817300,8174
Smith,0,4321900,43220
Johnson,0,2630600,26307
Harris,1,3901200,39013
Taylor,4,1944100,19442
Smith,2,62100,622
Jackson,2,4250300,42504
Robinson,4,4242400,42425
Miller,0,656300,6564
Martinez,3,897000,8971
Robinson,1,2365500,23656
Brown,0,2222200,22223
Taylor,2,1983900,19840
Johnson,0,2116600,21167
Smith,3,798000,7981
Martinez,1,710500,7106
Johnson,2,532400,5325
Jackson,4,647400,6475
Smith,1,1466400,14665
Smith,4,2408800,24089
White,1,3076300,30764
Thompson,0,4242600,42427
Anderson,0,4185700,41858
Wilson,1,29400,295
Jackson,2,2427500,24276
Williams,4,1109000,11091
Williams,0,3890300,38904
Thomas,2,3334400,33345
White,3,3372600,33727
Jackson,1,1369300,13694
Jones,1,3376600,33767
Miller,0,2989700,29898
Davis,0,673500,6736
Johnson,4,2038200,20383
Martinez,1,4098500,40986
Wilson,1,2215400,22155
Smith,1,3470300,34704
Thomas,3,1647300,16474
Thompson,4,1935000,19351
Martin,4,734700,7348
Brown,4,1710000,17101
Jackson,3,3475900,34760
Anderson,4,4037900,40380
Martin,1,749100,7492
White,0,2327400,23275
Davis,4,1747400,17475
Miller,2,546800,5469
White,4,3691800,36919
Wilson,1,1280400,12805
Davis,0,1450200,14503
Martin,2,3745600,37457
Brown,0,3958900,39590
Robinson,3,1374000,13741
Jones,3,1753300,17534
Garcia,1,3071900,30720
Thompson,2,1143100,11432
Davis,4,3919300,39194
White,2,3660100,36602
Brown,0,2494500,24946
Thomas,0,3732500,37326
Williams,4,2163800,21639
Wilson,1,791500,7916
Martinez,2,2874300,28744
Miller,0,1402100,14022
Thompson,4,2373500,23736
Thompson,3,2215000,22151
Miller,1,1656300,16564
Anderson,1,1787600,17877
White,1,90800,909
Jackson,1,1496500,14966
Brown,2,1583000,15831
Garcia,3,2524900,25250
Williams,3,1013300,10134
Anderson,3,613600,6137
Thomas,1,3093500,30936
Jackson,3,78800,789
Martin,4,1085800,10859
Miller,3,2871900,28720
Thomas,0,3893400,38935
Johnson,4,1262800,12629
Thompson,2,1776300,17764
Anderson,4,3893300,38934
Davis,3,380100,3802
Taylor,3,880200,8803
Wilson,0,1753900,17540
Smith,0,3408300,34084
Thompson,2,3251200,32513
Brown,2,3849100,38492
Robinson,2,3898100,38982
Johnson,1,1988300,19884
Miller,0,4256200,42563
White,2,879700,8798
Garcia,0,4313000,43131
Garcia,2,4333500,43336
Smith,2,1621300,16214
Jackson,1,102900,1030
Brown,4,3284300,32844
Johnson,4,616600,6167
Wilson,4,4042300,40424
White,0,4013000,40131
Thompson,4,126300,1264
White,0,967300,9674
Thompson,1,3424100,34242
Smith,2,2115100,21152
Smith,3,3217300,32174
Miller,0,2977700,29778
White,1,3258700,32588
Miller,4,2275000,22751
Garcia,4,3491800,34919
Johnson,4,4245400,42455
Johnson,3,3512900,35130
Harris,2,2289200,22893
Brown,2,32500,326
Robinson,1,2448800,24489
Miller,0,2764900,27650
Miller,1,3517100,35172
Harris,0,2416200,24163
Garcia,2,836900,8370
Wilson,0,1145600,11457
Anderson,4,2267100,22672
Thomas,2,1564600,15647
Williams,2,2618500,26186
Harris,4,544600,5447
Johnson,3,3870100,38702
Harris,4,773300,7734
Brown,4,3282500,32826
Johnson,1,606600,6067
Taylor,2,149700,1498
Robinson,1,823800,8239
Jackson,3,1103200,11033
Thomas,0,1750100,17502
Williams,2,958200,9583
Jackson,2,1875100,18752
Thompson,4,3488500,34886
Martinez,2,1978000,19781
Johnson,1,3591300,35914
Miller,0,16900,170
Williams,2,856300,8564
Harris,1,1297000,12971
Martinez,1,1898900,18990
Robinson,0,1692700,16928
Martinez,3,3255700,32558
Taylor,4,3077700,30767
Brown,4,2015100,20152
Garcia,0,3536900,35370
Johnson,4,116300,1164
Martin,2,208400,2074
Martin,2,1108100,11082
White,2,980800,9809
Jones,4,2904800,29049
Robinson,2,2339000,23391
Moore,2,2227100,22272
Thompson,2,986600,9867
Jones,4,1533600,15337
Davis,0,2244500,22446
Thompson,3,566800,5658
Wilson,3,3056900,30570
Brown,2,2073200,20733
Johnson,1,511700,5118
Davis,1,1229400,12284
Wilson,4,1283300,12834
Garcia,3,3529100,35292
Moore,1,2229200,22293
Miller,3,165700,1658
Jackson,1,1788100,17882
Miller,1,1860600,18607
Thomas,4,686500,6866
Miller,2,3322900,33230
Jackson,4,3519000,35191
Thompson,4,663100,6632
Harris,4,1747700,17478
Garcia,3,1689100,16892
Martinez,4,1219900,12200
Harris,1,399200,3993
Harris,4,768100,7682
Moore,2,3132600,31327
Jackson,2,3026100,30262
Wilson,3,89800,899
Anderson,3,1847500,18476
Thomas,2,3525800,35259
Miller,2,2121900,21220
Garcia,4,3988800,39889
Anderson,3,2802800,28029
Davis,2,4162900,41630
Johnson,0,3073200,30733
Taylor,0,2819900,28200
Davis,4,1056600,10567
Miller,0,87200,873
Moore,1,621300,6214
Martin,0,4220600,42207
Jackson,0,1218600,12187
Jackson,0,2289900,22900
Garcia,2,1249500,12496
Martin,1,2597000,25971
Miller,1,3209900,32100
Anderson,2,3526500,35266
Smith,3,1984700,19848
Robinson,3,3739600,37397
Martin,3,88900,890
Smith,4,1347600,13477
Jackson,3,1150300,11504
Anderson,4,2423200,24233
Davis,3,2134100,21331
Taylor,4,2388400,23885
Harris,3,1238100,12382
Martin,1,4203600,42037
Jackson,4,1593400,15935
Johnson,0,3080900,30810
Wilson,4,685400,6855
Moore,0,3590900,35910
Martin,4,3709600,37097
Thompson,1,2188400,21885
Miller,4,2789400,27895
Jones,2,2897400,28975
Johnson,3,727800,7279
Thompson,2,933200,9333
Smith,3,424700,4248
Jones,2,2918100,29182
Jackson,2,1262200,12623
Taylor,4,1503000,15031
Wilson,3,2235100,22352
Garcia,2,1687800,16879
Williams,1,1037000,10371
Davis,2,4034200,40343
Thompson,3,292700,2928
Harris,3,1095800,10959
Harris,0,140100,1402
Martin,2,3488100,34882
Taylor,2,330300,3293
Garcia,1,3574500,35746
Brown,1,2239000,22391
Smith,2,1130600,11307
Garcia,1,17500,176
Wilson,3,1923600,19237
Smith,1,3983800,39839
Thomas,0,415000,4151
Thompson,2,2191500,21916
Miller,1,827100,8272
Smith,2,1881600,18806
Wilson,1,1035400,10355
Martinez,3,2041400,20415
Moore,4,1231200,12313
Martin,0,296600,2967
Thomas,2,1317500,13176
Johnson,0,1940300,19404
Taylor,4,145700,1458
Moore,0,2361500,23616
Davis,4,3873600,38737
Wilson,0,2746300,27464
Jackson,0,447100,4472
Harris,3,1461600,14617
Jones,2,4002600,40027
Thompson,4,1314800,13149
Smith,2,1857500,18576
Thomas,4,2832900,28330
Robinson,2,3883300,38834
Harris,4,1770300,17704
Moore,1,2289600,22897
Jones,1,2484700,24848
Miller,4,3154200,31543
White,2,3044100,30442
Thompson,3,3768200,37683
Robinson,1,1285600,12857
Davis,1,1051500,10516
Johnson,2,2306200,23063
Moore,1,2990900,29910
Wilson,0,3048100,30482
Anderson,0,3926200,39263
Williams,2,2582100,25822
Martin,0,3328200,33283
Miller,0,713600,7137
Wilson,1,3112100,31122
Thompson,1,413600,4137
Taylor,0,4221400,42215
Davis,2,1177800,11779
Martin,3,1230000,12301
Smith,3,128900,1279
Robinson,0,11000,111
Davis,1,3217900,32180
Martinez,2,3240400,32405
Smith,2,2056900,20570
Martinez,1,3879300,38783
White,1,244100,2442
Taylor,1,1047400,10475
Robinson,2,2928700,29288
Williams,4,244200,2443
Wilson,3,2101200,21002
Taylor,1,2983000,29831
Moore,1,2340700,23408
Wilson,2,2952000,29521
Wilson,2,1410600,14107
White,2,303300,3034
Wilson,3,2750000,27501
Harris,3,1829600,18297
Miller,4,2641600,26417
Robinson,3,2717100,27172
Davis,4,3392800,33929
Brown,1,2635700,26358
Moore,0,3962500,39626
Garcia,3,2476900,24770
Jones,1,2063400,20635
Jones,4,3722900,37230
Miller,4,3662600,36627
Robinson,0,1978500,19786
Robinson,0,3675000,36751
Moore,0,1769100,17692
Jackson,2,3705300,37054
Robinson,0,3195800,31959
Williams,2,2438400,24385
Jones,4,732500,7326
Moore,3,1073200,10733
Jones,1,1641700,16418
Garcia,3,4217400,42175
Moore,4,1328000,13281
Smith,4,2114600,21147
Williams,1,4265800,42659
Johnson,0,3525600,35257
Martin,4,138300,1384
Jackson,2,453600,4537
Moore,4,3210300,32104
Martinez,3,2409700,24098
Thomas,2,200800,2009
Miller,3,2978800,29789
Harris,4,4119000,41191
Wilson,3,99900,1000
Williams,1,1699100,16992
Thompson,4,3047500,30476
Harris,0,772200,7723
Moore,2,3831500,38316
Jones,4,2750600,27507
Martinez,2,1354800,13549
Garcia,4,1202800,12029
Martinez,1,208000,2081
Smith,1,3574200,35743
Harris,4,1129500,11296
Johnson,2,2021700,20218
Martin,3,221800,2219
Garcia,4,3963300,39634
Harris,3,2113600,21137
Jones,0,2958100,29582
Martinez,3,332200,3323
Anderson,1,2815200,28153
Thomas,3,2268900,22690
Martin,4,580300,5804
Harris,1,1929000,19291
Thompson,0,3730200,37303
Garcia,2,4044100,40442
Anderson,0,711000,7111
Garcia,4,437200,4373
Harris,1,4207900,42080
Miller,1,2912800,29118
Smith,2,1566700,15668
Miller,2,397000,3971
Harris,2,2684600,26847
Moore,4,389900,3900
Martin,4,1136300,11364
Robinson,3,1261500,12616
Thompson,4,4129700,41298
Harris,4,2668400,26685
Robinson,4,3863600,38637
Brown,3,2581600,25817
Brown,1,948600,9487
Taylor,2,3446700,34468
White,1,1845000,18451
White,4,1469100,14692
Brown,3,1678700,16788
Taylor,2,3293700,32938
Thomas,0,1232700,12328
Thompson,2,3252600,32527
Davis,3,1290700,12908
Thomas,2,2139600,21397
Davis,1,3195700,31958
Jackson,4,931700,9318
Anderson,1,3494200,34943
White,0,3411400,34115
Jones,4,2993500,29936
Harris,4,1539300,15394
Taylor,1,3528400,35285
Miller,3,2446000,24461
Williams,4,2005800,20059
Johnson,0,2483600,24837
Thomas,2,4269700,42698
Taylor,0,531500,5316
Jackson,0,4180200,41803
Harris,0,2635500,26356
Moore,2,4072600,40727
Brown,1,2286500,22866
Martin,3,29000,291
Moore,2,2883600,28837
Taylor,0,3944800,39449
Brown,4,1025200,10253
Harris,2,43100,432
Garcia,3,1053500,10536
Miller,2,1806700,18068
Brown,2,3736600,37367
White,4,2905000,29051
Smith,4,3843000,38431
White,2,1181700,11818
Robinson,0,1992800,19929
Harris,4,3525300,35254
Jackson,3,1911900,19120
Williams,2,1981100,19812
Jones,0,1815100,18152
Jackson,3,2339200,23393
Thompson,3,254000,2541
White,3,2342300,23424
Robinson,1,246100,2462
Moore,2,1180200,11803
Robinson,0,1271600,12717
Brown,0,4340500,43406
Martinez,4,638700,6388
Davis,4,3661800,36619
Harris,0,710800,7109
Thomas,1,1590300,15904
Robinson,4,2270900,22710
Martinez,0,4207800,42079
Miller,0,2070800,20709
Smith,0,3026200,30263
Johnson,0,2429300,24294
Jones,0,3619100,36192
Brown,3,3781100,37812
Martin,2,3088900,30890
Robinson,4,4193600,41937
Thomas,2,2993300,29934
White,0,812800,8129
Jackson,1,3083000,30831
Jones,2,2153700,21538
Taylor,3,2992300,29924
Johnson,3,2820600,28207
Wilson,2,4101300,41014
Williams,3,3291600,32917
Wilson,2,2517300,25174
Martin,0,2240900,22410
Wilson,4,2652100,26522
Smith,2,208600,2087
Miller,0,3001100,30012
White,1,1443000,14431
Jones,0,3759800,37599
Williams,3,1701500,17016
White,3,3043400,30435
Thompson,1,476500,4766
Thompson,0,470700,4708
Harris,4,3142100,31422
Thomas,0,1946200,19463
Johnson,4,796500,7966
Moore,4,1023000,10231
Harris,0,288100,2882
Smith,3,3432700,34328
White,1,2244100,22442
Martinez,1,650300,6504
Brown,4,1704100,17042
Williams,2,3448400,34485
Johnson,2,2287700,22878
Harris,1,4239700,42398
Jones,4,2581500,25816
Taylor,1,1748200,17483
Robinson,2,857800,8579
Garcia,3,515700,5158
Jackson,0,159700,1598
Taylor,4,3381700,33818
Jones,1,4056800,40569
Smith,3,1844300,18444
Taylor,3,22100,222
Jones,4,628100,6282
Thomas,0,718200,7183
White,1,3919100,39192
Johnson,2,464100,4642
Martin,2,3572000,35721
Williams,4,2338900,23390
Martinez,4,2331100,23312
Davis,4,210900,2110
Jones,0,3128100,31282
Smith,2,1638700,16388
Jones,1,1302900,13030
Smith,1,1273700,12738
Martinez,2,4199000,41991
Johnson,4,3017500,30176
Jackson,4,3735800,37359
Moore,2,2262100,22622
White,3,20400,205
White,4,1172200,11723
Smith,3,2454400,24545
Jackson,0,3164800,31649
Martinez,0,2441800,24419
Anderson,1,3227000,32271
Jones,2,914100,9142
Miller,4,3926900,39270
Moore,1,3660200,36603
Jackson,0,4296200,42963
Garcia,0,324600,3247
Thomas,4,2704100,27042
White,3,3189000,31891
Moore,1,1250500,12506
Martinez,4,745500,7456
Williams,4,3861500,38616
Garcia,1,3898600,38987
Harris,4,1856500,18566
Thompson,2,2857300,28574
Moore,4,3869700,38698
Moore,3,2494200,24943
Johnson,4,1849100,18492
Jones,0,3426600,34267
Jackson,1,2627900,26280
Jones,0,406100,4062
Robinson,4,3387900,33880
Johnson,2,4145600,41457
Jackson,3,2779400,27795
Martin,3,787700,7878
Johnson,1,1200400,12005
Wilson,4,300700,3008
Martinez,4,2634700,26348
Martinez,4,3960300,39604
Anderson,4,3198400,31985
White,1,2046800,20469
Martinez,2,3029400,30295
Taylor,1,2445400,24455
Martin,2,269200,2693
Martin,0,1605800,16059
Martinez,4,2165500,21656
Davis,0,3395400,33955
Williams,1,3974900,39750
Moore,1,3161600,31617
Johnson,0,120100,1202
Davis,0,4151500,41516
Anderson,0,1461300,14614
Robinson,3,2559000,25591
Thompson,4,2399300,23994
Williams,4,1582600,15827
Wilson,3,3842000,38421
Anderson,2,2890500,28906
Williams,1,1571700,15718
Martin,1,2723200,27233
Smith,2,2414400,24145
Anderson,0,2659100,26592
Jackson,0,2871300,28714
Smith,4,2239200,22393
Thompson,3,3752000,37521
Martinez,2,3636700,36368
Jones,1,632300,6324
Harris,1,3406600,34067
Jones,0,1753200,17533
Johnson,1,4300500,43006
Williams,3,2328900,23290
Martin,3,3142700,31428
Garcia,4,1043700,10438
Robinson,0,997200,9973
Thomas,3,2595700,25958
Moore,4,100300,1004
Brown,4,2911600,29117
Williams,4,4227400,42275
Moore,1,1384600,13847
Martinez,0,2384200,23843
Miller,3,3352200,33523
Williams,0,874000,8741
Miller,1,1752100,17522
Smith,2,2710500,27106
Thompson,4,92500,926
Martin,0,377200,3773
Garcia,0,4360900,43610
Jones,0,467800,4679
Jackson,1,4215100,42152
Brown,3,4140900,41410
Robinson,3,383100,3832
Garcia,0,909800,9099
White,4,2183100,21832
Anderson,4,2779600,27797
Moore,4,885700,8858
Anderson,2,1114400,11145
White,0,3523700,35227
Moore,3,819500,8196
Garcia,3,4080900,40810
Brown,0,2461700,24618
Johnson,0,3754700,37548
White,3,4050600,40507
Anderson,3,2501800,25019
Martinez,4,1237200,12373
Smith,2,1522400,15225
Martin,2,1495400,14955
Harris,4,572200,5723
Taylor,0,20200,203
White,1,2214700,22148
Miller,1,1625600,16257
Taylor,3,2819400,28195
Thompson,3,10500,106
Martinez,1,296300,2964
Johnson,3,2567900,25680
Miller,2,2059000,20591
Brown,4,3417300,34174
Johnson,3,1688800,16889
Thompson,0,1628800,16289
Robinson,4,2361800,23619
Brown,2,3160600,31607
Brown,0,3229400,32295
Taylor,4,182100,1822
Harris,3,146600,1467
Harris,1,535600,5357
Anderson,2,2478700,24788
Davis,3,4066400,40665
Williams,1,2374000,23741
Miller,3,2756900,27570
Wilson,3,2782600,27827
Wilson,4,3511500,35116
Martin,1,869900,8700
Thomas,0,384000,3841
Johnson,3,3105300,31054
White,0,1731600,17317
Williams,2,1686600,16867
Garcia,3,610700,6108
Johnson,3,1328600,13287
Anderson,1,2150600,21507
Anderson,0,2901300,29014
White,4,3095000,30951
Williams,2,4139600,41397
Brown,4,286600,2867
Martin,1,451000,4511
Brown,2,850300,8504
Jackson,4,3086400,30865
Wilson,4,2858500,28586
Jones,1,4093700,40938
Harris,3,1957700,19578
Johnson,4,966400,9665
Brown,2,1498800,14989
Wilson,3,109200,1093
Martin,0,3671500,36716
Wilson,2,1236700,12368
Garcia,2,1088600,10887
Moore,4,2329200,23293
Thomas,0,3373800,33739
Williams,1,3207900,32080
Martinez,2,556000,5561
Martin,0,1334800,13349
Anderson,2,2689100,26892
Johnson,1,506200,5063
Jackson,1,194800,1949
Robinson,3,3751400,37515
Garcia,3,2707900,27080
Taylor,4,4219900,42200
Smith,2,4114800,41149
Thomas,0,1415300,14154
Miller,2,598100,5982
Johnson,4,1665600,16657
Brown,2,1578700,15788
Davis,3,709200,7093
Thompson,1,3212800,32129
Taylor,1,1580800,15809
Harris,2,3342100,33422
Anderson,0,1546300,15464
Martinez,1,615100,6152
Davis,4,307300,3074
Smith,4,2731900,27320
Jackson,0,2414800,24149
Johnson,2,1503900,15040
Brown,1,1150600,11507
Robinson,0,1219500,12196
Davis,4,1640800,16409
Davis,3,976200,9763
Robinson,0,3018200,30183
Wilson,3,1710300,17104
Smith,4,2267700,22678
Wilson,1,748300,7484
Garcia,2,2623700,26238
Anderson,1,2801600,28017
Johnson,2,3495600,34957
Wilson,3,3676200,36763
Wilson,4,3694600,36947
Anderson,4,386400,3865
Miller,0,1934700,19348
Thomas,1,2726600,27267
Taylor,3,1787500,17876
Jones,1,3560700,35608
Martinez,2,2260200,22603
Thompson,3,3030000,30301
Thompson,0,2939100,29392
Smith,4,2778000,27781
Jones,1,992400,9925
Smith,1,442100,4422
Martinez,0,1619800,16199
Brown,3,1153900,11540
Martin,2,2475600,24746
Robinson,3,1477900,14769
Williams,1,1230700,12308
Jackson,1,2823600,28237
Davis,4,812000,8121
Jackson,0,2749900,27500
Davis,4,1803900,18040
Jones,3,458500,4586
Taylor,4,329100,3292
White,3,3962400,39614
White,4,1936800,19369
Anderson,2,2546500,25466
Thompson,3,295600,2957
Jones,4,3488600,34887
Smith,3,4113700,41138
Garcia,2,1401200,14002
Garcia,1,4046700,40468
Anderson,4,4251000,42511
Miller,3,1994800,19949
Garcia,1,679600,6797
Jones,4,1873700,18738
Jackson,2,1329100,13292
Wilson,0,248500,2486
White,0,948400,9485
Jackson,2,854400,8545
